Sensitivity,False Positive Rate,Threshold
0,0000,0,0000,1,0000
0,0667,0,0000,0,9500
0,6667,0,0000,0,9000
0,8667,0,0000,0,8500
0,9333,0,0000,0,8000
0,9333,0,0000,0,7500
0,9833,0,0000,0,7000
0,9833,0,0000,0,6500
1,0000,0,0000,0,6000
1,0000,0,0000,0,5500
1,0000,0,0000,0,5000
1,0000,0,0000,0,4500
1,0000,0,0000,0,4000
1,0000,0,0000,0,3500
1,0000,0,0000,0,3000
1,0000,0,0256,0,2500
1,0000,0,0641,0,2000
1,0000,0,1410,0,1500
1,0000,0,3333,0,1000
1,0000,0,8590,0,0500
Best %,Threshold
100,0000,0,6000
TP,FP,FN,TN
60,0,0,78
