Sensitivity,False Positive Rate,Threshold
0,0000,0,0000,1,0000
0,0333,0,0000,0,9500
0,7333,0,0000,0,9000
0,8833,0,0000,0,8500
0,9333,0,0000,0,8000
0,9667,0,0000,0,7500
0,9833,0,0000,0,7000
0,9833,0,0000,0,6500
1,0000,0,0000,0,6000
1,0000,0,0000,0,5500
1,0000,0,0000,0,5000
1,0000,0,0000,0,4500
1,0000,0,0000,0,4000
1,0000,0,0000,0,3500
1,0000,0,0000,0,3000
1,0000,0,0256,0,2500
1,0000,0,0256,0,2000
1,0000,0,1282,0,1500
1,0000,0,3846,0,1000
1,0000,0,9103,0,0500
Best %,Threshold
100,0000,0,6000
TP,FP,FN,TN
60,0,0,78
