Sensitivity,False Positive Rate,Threshold
0,0000,0,0000,1,0000
0,0000,0,0000,0,9500
0,0000,0,0000,0,9000
0,3750,0,0000,0,8500
0,7917,0,0000,0,8000
0,8750,0,0000,0,7500
0,9167,0,0323,0,7000
0,9167,0,0323,0,6500
0,9583,0,0645,0,6000
0,9583,0,0645,0,5500
0,9583,0,0645,0,5000
0,9583,0,1935,0,4500
0,9583,0,1935,0,4000
0,9583,0,2581,0,3500
0,9583,0,2581,0,3000
1,0000,0,4516,0,2500
1,0000,0,8710,0,2000
1,0000,1,0000,0,1500
1,0000,1,0000,0,1000
1,0000,1,0000,0,0500
Best %,Threshold
94,5455,0,7500
TP,FP,FN,TN
21,0,3,31
