Sensitivity,False Positive Rate,Threshold
0.0000,0.0000,1.0000
0.0000,0.0000,0.9500
0.0000,0.0000,0.9000
0.0000,0.0000,0.8500
0.0000,0.0000,0.8000
0.0071,0.0044,0.7500
0.0142,0.0044,0.7000
0.0355,0.0088,0.6500
0.0851,0.0088,0.6000
0.3121,0.0176,0.5500
0.5532,0.0441,0.5000
0.7305,0.1189,0.4500
0.9149,0.3216,0.4000
0.9929,0.7577,0.3500
1.0000,0.9163,0.3000
1.0000,0.9736,0.2500
1.0000,0.9868,0.2000
1.0000,0.9912,0.1500
1.0000,0.9912,0.1000
1.0000,1.0000,0.0500
Best %,Threshold
82.3370,0.4500
TP,FP,FN,TN
103,27,38,200
