Sensitivity,False Positive Rate,Threshold
0,0000,0,0000,1,0000
0,0000,0,0000,0,9500
0,0000,0,0000,0,9000
0,0000,0,0000,0,8500
0,0000,0,0000,0,8000
0,0000,0,0000,0,7500
0,0000,0,0000,0,7000
0,2727,0,0303,0,6500
0,5000,0,0606,0,6000
0,7727,0,1515,0,5500
0,8182,0,1515,0,5000
0,8636,0,1818,0,4500
0,8636,0,2424,0,4000
0,9545,0,2727,0,3500
1,0000,1,0000,0,3000
1,0000,1,0000,0,2500
1,0000,1,0000,0,2000
1,0000,1,0000,0,1500
1,0000,1,0000,0,1000
1,0000,1,0000,0,0500
Best %,Threshold
83,6364,0,5000
TP,FP,FN,TN
18,5,4,28
