Sensitivity,False Positive Rate,Threshold
0,0000,0,0000,1,0000
0,0000,0,0000,0,9500
0,0000,0,0000,0,9000
0,0000,0,0000,0,8500
0,0000,0,0000,0,8000
0,0500,0,0000,0,7500
0,2000,0,0000,0,7000
0,5000,0,0286,0,6500
0,6500,0,0571,0,6000
0,7000,0,0857,0,5500
1,0000,0,7143,0,5000
1,0000,0,7429,0,4500
1,0000,0,7714,0,4000
1,0000,0,8571,0,3500
1,0000,0,8857,0,3000
1,0000,0,9429,0,2500
1,0000,0,9714,0,2000
1,0000,1,0000,0,1500
1,0000,1,0000,0,1000
1,0000,1,0000,0,0500
Best %,Threshold
83,6364,0,6000
TP,FP,FN,TN
13,2,7,33
