Sensitivity,False Positive Rate,Threshold
0.0000,0.0000,1.0000
0.0000,0.0000,0.9500
0.0000,0.0000,0.9000
0.0000,0.0000,0.8500
0.0000,0.0000,0.8000
0.0000,0.0000,0.7500
0.0000,0.0000,0.7000
0.0126,0.0000,0.6500
0.0818,0.0000,0.6000
0.2327,0.0048,0.5500
0.8742,0.2010,0.5000
0.9874,0.7368,0.4500
1.0000,0.9187,0.4000
1.0000,0.9761,0.3500
1.0000,0.9952,0.3000
1.0000,1.0000,0.2500
1.0000,1.0000,0.2000
1.0000,1.0000,0.1500
1.0000,1.0000,0.1000
1.0000,1.0000,0.0500
Best %,Threshold
83.1522,0.5000
TP,FP,FN,TN
139,42,20,167
