Sensitivity,False Positive Rate,Threshold
0,0000,0,0000,1,0000
0,0000,0,0000,0,9500
0,0000,0,0000,0,9000
0,2333,0,0000,0,8500
0,8000,0,0000,0,8000
0,9333,0,0000,0,7500
0,9333,0,0000,0,7000
0,9333,0,0000,0,6500
0,9667,0,0000,0,6000
0,9833,0,0000,0,5500
1,0000,0,0641,0,5000
1,0000,0,0769,0,4500
1,0000,0,1282,0,4000
1,0000,0,2821,0,3500
1,0000,0,4359,0,3000
1,0000,0,4615,0,2500
1,0000,0,7179,0,2000
1,0000,1,0000,0,1500
1,0000,1,0000,0,1000
1,0000,1,0000,0,0500
Best %,Threshold
99,2754,0,5500
TP,FP,FN,TN
59,0,1,78
