Sensitivity,False Positive Rate,Threshold
0.0000,0.0000,1.0000
0.0000,0.0000,0.9500
0.0000,0.0000,0.9000
0.0000,0.0044,0.8500
0.0000,0.0044,0.8000
0.0000,0.0044,0.7500
0.0210,0.0044,0.7000
0.0769,0.0044,0.6500
0.1608,0.0044,0.6000
0.2308,0.0044,0.5500
0.7483,0.0533,0.5000
0.8252,0.1289,0.4500
0.9371,0.2222,0.4000
0.9790,0.4533,0.3500
1.0000,0.6800,0.3000
1.0000,0.8578,0.2500
1.0000,0.9289,0.2000
1.0000,0.9867,0.1500
1.0000,0.9956,0.1000
1.0000,1.0000,0.0500
Best %,Threshold
86.9565,0.5000
TP,FP,FN,TN
107,12,36,213
