Sensitivity,False Positive Rate,Threshold
0.0000,0.0000,1.0000
0.0000,0.0000,0.9500
0.0000,0.0000,0.9000
0.0000,0.0000,0.8500
0.0000,0.0000,0.8000
0.0000,0.0000,0.7500
0.0000,0.0000,0.7000
0.0189,0.0000,0.6500
0.0566,0.0000,0.6000
0.2075,0.0048,0.5500
1.0000,0.7177,0.5000
1.0000,0.8565,0.4500
1.0000,0.9617,0.4000
1.0000,0.9904,0.3500
1.0000,0.9904,0.3000
1.0000,0.9952,0.2500
1.0000,0.9952,0.2000
1.0000,0.9952,0.1500
1.0000,1.0000,0.1000
1.0000,1.0000,0.0500
Best %,Threshold
65.4891,0.5500
TP,FP,FN,TN
33,1,126,208
