Sensitivity,False Positive Rate,Threshold
0.0000,0.0000,1.0000
0.0000,0.0000,0.9500
0.0000,0.0000,0.9000
0.0000,0.0000,0.8500
0.0000,0.0000,0.8000
0.0000,0.0000,0.7500
0.0028,0.0000,0.7000
0.0028,0.0000,0.6500
0.0056,0.0018,0.6000
0.0141,0.0053,0.5500
0.1073,0.0071,0.5000
0.4237,0.0194,0.4500
0.8136,0.1217,0.4000
0.9915,0.7513,0.3500
1.0000,0.9683,0.3000
1.0000,0.9965,0.2500
1.0000,1.0000,0.2000
1.0000,1.0000,0.1500
1.0000,1.0000,0.1000
1.0000,1.0000,0.0500
Best %,Threshold
85.3420,0.4000
TP,FP,FN,TN
288,69,66,498
