Sensitivity,False Positive Rate,Threshold
0.0000,0.0000,1.0000
0.0000,0.0000,0.9500
0.0000,0.0000,0.9000
0.0000,0.0000,0.8500
0.0000,0.0000,0.8000
0.0000,0.0000,0.7500
0.0000,0.0000,0.7000
0.0000,0.0000,0.6500
0.0000,0.0169,0.6000
0.2519,0.1224,0.5500
0.9924,0.9451,0.5000
1.0000,0.9747,0.4500
1.0000,0.9873,0.4000
1.0000,0.9916,0.3500
1.0000,0.9916,0.3000
1.0000,1.0000,0.2500
1.0000,1.0000,0.2000
1.0000,1.0000,0.1500
1.0000,1.0000,0.1000
1.0000,1.0000,0.0500
Best %,Threshold
65.4891,0.5500
TP,FP,FN,TN
33,29,98,208
