Sensitivity,False Positive Rate,Threshold
0,0000,0,0000,1,0000
0,0000,0,0000,0,9500
0,0000,0,0000,0,9000
0,0000,0,0000,0,8500
0,0000,0,0000,0,8000
0,0000,0,0000,0,7500
0,0000,0,0000,0,7000
0,0000,0,0000,0,6500
0,0000,0,0000,0,6000
0,0000,0,0000,0,5500
0,0000,0,0000,0,5000
0,0426,0,0000,0,4500
0,1418,0,0044,0,4000
0,4894,0,0617,0,3500
1,0000,0,9515,0,3000
1,0000,0,9824,0,2500
1,0000,0,9824,0,2000
1,0000,0,9956,0,1500
1,0000,1,0000,0,1000
1,0000,1,0000,0,0500
Best %,Threshold
76,6304,0,3500
TP,FP,FN,TN
69,14,72,213
