Sensitivity,False Positive Rate,Threshold
0,0000,0,0000,1,0000
0,0000,0,0000,0,9500
0,0000,0,0000,0,9000
0,0000,0,0000,0,8500
0,0000,0,0000,0,8000
0,0000,0,0000,0,7500
0,0000,0,0000,0,7000
0,0000,0,0000,0,6500
0,0000,0,0000,0,6000
0,0000,0,0047,0,5500
0,0705,0,0094,0,5000
0,4231,0,0425,0,4500
0,8333,0,1557,0,4000
1,0000,0,7877,0,3500
1,0000,0,9858,0,3000
1,0000,0,9906,0,2500
1,0000,0,9953,0,2000
1,0000,1,0000,0,1500
1,0000,1,0000,0,1000
1,0000,1,0000,0,0500
Best %,Threshold
83,9674,0,4000
TP,FP,FN,TN
130,33,26,179
