Sensitivity,False Positive Rate,Threshold
0,0000,0,0000,1,0000
0,0000,0,0000,0,9500
0,0000,0,0000,0,9000
0,0000,0,0000,0,8500
0,0000,0,0000,0,8000
0,2000,0,0286,0,7500
0,3500,0,0571,0,7000
0,4500,0,0571,0,6500
0,6500,0,4000,0,6000
0,7000,0,4000,0,5500
1,0000,0,8000,0,5000
1,0000,0,8000,0,4500
1,0000,0,8000,0,4000
1,0000,0,9714,0,3500
1,0000,0,9714,0,3000
1,0000,1,0000,0,2500
1,0000,1,0000,0,2000
1,0000,1,0000,0,1500
1,0000,1,0000,0,1000
1,0000,1,0000,0,0500
Best %,Threshold
76,3636,0,6500
TP,FP,FN,TN
9,2,11,33
