Sensitivity,False Positive Rate,Threshold
0,0000,0,0000,1,0000
0,0000,0,0000,0,9500
0,0000,0,0000,0,9000
0,0000,0,0000,0,8500
0,0800,0,0333,0,8000
0,2800,0,0333,0,7500
0,6400,0,1000,0,7000
0,8000,0,1333,0,6500
0,9600,0,2000,0,6000
0,9600,0,3000,0,5500
1,0000,0,3000,0,5000
1,0000,0,3000,0,4500
1,0000,0,4000,0,4000
1,0000,0,4333,0,3500
1,0000,0,5000,0,3000
1,0000,0,6667,0,2500
1,0000,0,9000,0,2000
1,0000,1,0000,0,1500
1,0000,1,0000,0,1000
1,0000,1,0000,0,0500
Best %,Threshold
87,2727,0,6000
TP,FP,FN,TN
24,6,1,24
