Sensitivity,False Positive Rate,Threshold
0.0000,0.0000,1.0000
0.0868,0.7861,0.9500
0.0868,0.7861,0.9000
0.0868,0.7861,0.8500
0.0868,0.7861,0.8000
0.0868,0.7861,0.7500
0.0868,0.7861,0.7000
0.1074,0.8781,0.6500
0.1074,0.8781,0.6000
0.1074,0.8781,0.5500
0.1074,0.8781,0.5000
0.1074,0.8781,0.4500
0.1074,0.8781,0.4000
0.1074,0.8781,0.3500
0.1942,0.9303,0.3000
0.1942,0.9303,0.2500
0.1942,0.9303,0.2000
0.1942,0.9303,0.1500
0.1942,0.9303,0.1000
0.1942,0.9303,0.0500
Best %,Threshold
62.4224,1.0000
TP,FP,FN,TN
0,0,242,402
