Sensitivity,False Positive Rate,Threshold
0,0000,0,0000,1,0000
0,0000,0,0000,0,9500
0,0000,0,0000,0,9000
0,0000,0,0000,0,8500
0,0000,0,0000,0,8000
0,0000,0,0000,0,7500
0,0000,0,0000,0,7000
0,3750,0,0645,0,6500
0,4167,0,0968,0,6000
0,4583,0,0968,0,5500
0,5417,0,0968,0,5000
0,5833,0,0968,0,4500
0,6667,0,0968,0,4000
0,6667,0,1613,0,3500
1,0000,0,9677,0,3000
1,0000,0,9677,0,2500
1,0000,1,0000,0,2000
1,0000,1,0000,0,1500
1,0000,1,0000,0,1000
1,0000,1,0000,0,0500
Best %,Threshold
80,0000,0,4000
TP,FP,FN,TN
16,3,8,28
