Sensitivity,False Positive Rate,Threshold
0.0000,0.0000,1.0000
0.0000,0.0000,0.9500
0.0000,0.0000,0.9000
0.0000,0.0000,0.8500
0.0000,0.0000,0.8000
0.0000,0.0000,0.7500
0.0000,0.0000,0.7000
0.0000,0.0000,0.6500
0.0000,0.0000,0.6000
0.1268,0.0044,0.5500
0.9225,0.3584,0.5000
1.0000,0.8584,0.4500
1.0000,0.9204,0.4000
1.0000,0.9735,0.3500
1.0000,0.9867,0.3000
1.0000,0.9956,0.2500
1.0000,0.9956,0.2000
1.0000,0.9956,0.1500
1.0000,0.9956,0.1000
1.0000,1.0000,0.0500
Best %,Threshold
75.0000,0.5000
TP,FP,FN,TN
131,81,11,145
