Sensitivity,False Positive Rate,Threshold
0,0000,0,0000,1,0000
0,0000,0,0000,0,9500
0,0000,0,0000,0,9000
0,0000,0,0000,0,8500
0,0000,0,0000,0,8000
0,0000,0,0000,0,7500
0,0000,0,0000,0,7000
0,0000,0,0000,0,6500
0,0063,0,0000,0,6000
0,0126,0,0000,0,5500
0,1384,0,0000,0,5000
0,6541,0,0813,0,4500
0,9497,0,4593,0,4000
1,0000,0,8660,0,3500
1,0000,0,9713,0,3000
1,0000,1,0000,0,2500
1,0000,1,0000,0,2000
1,0000,1,0000,0,1500
1,0000,1,0000,0,1000
1,0000,1,0000,0,0500
Best %,Threshold
80,4348,0,4500
TP,FP,FN,TN
104,17,55,192
