Sensitivity,False Positive Rate,Threshold
0,0000,0,0000,1,0000
0,0000,0,0000,0,9500
0,0000,0,0000,0,9000
0,3667,0,0000,0,8500
0,5667,0,0000,0,8000
0,7833,0,0000,0,7500
0,8000,0,0000,0,7000
0,9333,0,0000,0,6500
0,9833,0,0000,0,6000
0,9833,0,0000,0,5500
0,9833,0,0000,0,5000
1,0000,0,0128,0,4500
1,0000,0,0897,0,4000
1,0000,0,1538,0,3500
1,0000,0,3590,0,3000
1,0000,0,3718,0,2500
1,0000,0,6154,0,2000
1,0000,0,9615,0,1500
1,0000,1,0000,0,1000
1,0000,1,0000,0,0500
Best %,Threshold
99,2754,0,6000
TP,FP,FN,TN
59,0,1,78
