Sensitivity,False Positive Rate,Threshold
0.0000,0.0000,1.0000
0.0000,0.0000,0.9500
0.0000,0.0000,0.9000
0.0000,0.0000,0.8500
0.0000,0.0000,0.8000
0.0000,0.0000,0.7500
0.0000,0.0000,0.7000
0.0000,0.0000,0.6500
0.0065,0.0000,0.6000
0.0519,0.0187,0.5500
0.6364,0.1262,0.5000
0.9545,0.8832,0.4500
1.0000,1.0000,0.4000
1.0000,1.0000,0.3500
1.0000,1.0000,0.3000
1.0000,1.0000,0.2500
1.0000,1.0000,0.2000
1.0000,1.0000,0.1500
1.0000,1.0000,0.1000
1.0000,1.0000,0.0500
Best %,Threshold
77.4457,0.5000
TP,FP,FN,TN
98,27,56,187
